hook | 一个人上班 / 三家公司开工 | 一个人上班，三家公司开工——今天下午，61 分钟，我干成了。
punch | 员工表 · 人类 = 1 / 爽的是 AI，累的是我 | 员工表上人类只有一个：我。爽的是 AI，累的是我。
body | 老大做游戏 / 8 款游戏 · 0 元 · 版权证书一沓 | 老大做游戏，8 款游戏一分钱没花，版权证书拿了一沓。
punch | 老二拿 AI 炒股票 / 432 说废就废 · 开了瓶酒 · 真事可查 | 老二拿 AI 炒股票，432 个方案说废就废，还开了瓶酒——真事，账本可查。
wink | 老三最会拍马屁 / 它管我叫老板 | 老三最会拍马屁——就是它，剪着视频，还管我叫老板。
beat | 怎么管 / 一句话，它们自己卷 | 怎么管？一句话，它们自己卷。
body | 每 10 分钟自醒 / 找活 · 记账 · 谁也改不了 | 每 10 分钟自己醒一次，找活、记账，谁也改不了。
wink | 两台电脑互相甩锅 / 啊不，互相交账 | 两台电脑像同事，互相甩锅——啊不，互相交账。
proof | 我吹牛 / 它们当场打脸 · 每一步留底 | 我敢吹牛，它们就敢打脸——每一步都留了底。
close | 记住这句话 / 一个人上班，三家公司开工 | 记住这句话：一个人上班，三家公司开工。
cta | 转给说了八百回的朋友 / 「等我有空也搞一个」 | 转给那个说了八百回「我也搞一个」的朋友。
