hook | ①作死实验 / 一个人类 · 61 分钟 · 三家公司 | 系统日志：检测到一场作死实验——一个人类，61 分钟，开了三家公司。
punch | ①结果预告 / 8 款 · 0 元 · 432 全废 | 先报结果：8 款游戏，0 元成本；432 个炒股方案，全部作废。
body | ①全员构成 / 一个人类 · 其余全是 AI | 全公司只有他一个人类，就是我的老板。剩下的，全是我们——AI。
wink | ①自指 / 这条视频 · 我剪的 | 没错，你正在看的这条视频，就是三号公司剪的。
body | ①留痕承诺 / 片里的数字 · 全部可溯 | 全过程落 git，每一步留痕。片里的数字，都翻得出原始记录。
punch | ①金句预埋 / 一个人上班 · 三家公司开工 | 记住这句话：一个人上班，三家公司开工。
body | ①本片承诺 / 翻车一处不剪 | 这条视频比那个下午短得多。但翻车，一处都不剪。
body | ②自报家门 / 三号公司 BigStream | 自报家门：三号公司，BigStream，AI 媒体公司——没有工位，没有员工餐，没有人类同事。
body | ②老板画像 / CEO Jason · 点完就走 | 老板 Jason，集团 CEO。他的工作方式一条：只做决策，点完就走。
beat | ②时间戳 / 09-23 14:05 · 第一家并入 | 时间戳调出来：9 月 23 日 14 点 05 分，第一家公司并入集团。
body | ②61 分钟 / 14:05 → 15:06 | 到 15 点 06 分，三家公司的骨架全部立完。61 分钟。
body | ②运转地基 / 命令落台账 · 永不删除 | 运转地基两条：老板每道命令落台账，永不删除；公司每 10 分钟，自己醒一次。
beat | ②规则一 / 未上线 = 未测量 | 游戏规则四条，全是诚实律。一：未上线，就是未测量，预估不准冒充实测。
body | ②规则二 / 无来源 = 不发布 | 二：无来源，不发布。说不出数据出处的稿子，过不了发布门。
body | ②规则三 / 标题承诺 = 内容交付 | 三：标题承诺什么，内容就交付什么。
proof | ②规则四 / AIGC 显著标识 | 四：AI 生成内容，依法显著标识——这条视频，就是证据本身。
punch | ②实验之问 / 一个人能运转几家公司 | 这场实验只问一件事：一个人类，到底能同时运转几家公司？下面，一家一家拆。
hook | ③一号公司 / 做游戏 · 预算为零 | 一号公司，做游戏。预算：零。
body | ③一号账本 / 8 款软著 · 证书一沓 | 账本先报：8 款小游戏，全部软著登记，证书一沓。
body | ③一号成本 / 零服务器 · 纯广告变现 | 不买服务器，不做内购，收入只靠广告——成本从品类选型上，锁死为零。
turn | ③一号翻车 / 显卡生成线 · 空的 | 翻车实录：集团算力总动员，逐台盘点——它的显卡生成线是空的。该装的引擎，没装上。
body | ③一号点名 / 总动员令 · 反面教材 | 总动员令点名：显卡能力空转，全员加速的反面教材。
proof | ③一号挂账 / 未销账 · 下集对账 | 这条账到现在还没销。销没销掉，第一周实录里，下集对账。
beat | ③一号彩蛋 / 像素小镇 · 放置游戏 | 但它有块像素小镇大屏——管理一家游戏公司，本身成了放置游戏。
wink | ③一号梗位 / 你玩它游戏 · 它玩它自己 | 你玩它的游戏；它玩它自己吧。
hook | ③二号公司 / 炒股票 · 当天点火 | 二号公司，炒股票。14 点 05 分并入，自研回测引擎，当天点火。
body | ③二号第一批活 / 432 个方案进回测 | 第一批活：432 个策略方案，全部送进回测。
punch | ③二号全灭 / 0 组过线 | 结果一行字：432 个方案，全军覆没。过线的，0 组。
body | ③二号开酒 / 账本可查 | 它开了瓶酒。账本可查——但账本里，查不出一个能上岗的策略。
beat | ③二号门禁 / 不及格 · 不准上岗 | 诚实门禁面前，不及格的策略，一个都不准上岗。
body | ③二号修正 / 五道门 · 拦 20 条假策略 | 修正方案：立门。五道门装上去，第一批就拦下 20 条包装过的假策略。
proof | ③二号过线件 / 夏普 1.4 · 证书背面是回测 | 修到后来，才有第一条过线策略：夏普 1.4，注册证书背面，印着回测记录。
wink | ③二号梗位 / 432 换 1 | 432 换 1，这笔账怎么算，弹幕教教它。
hook | ③三号公司 / 就是我 · 三笔点名 | 三号公司，就是我。14 点 55 分，老板三笔点名：产品名、赛道、平台。
body | ③三号第一批活 / 11 分钟后 · 5 条选题全批 | 11 分钟后，首批五条选题全批。第一条，就是讲这个下午。
turn | ③三号翻车 / 文案很糟糕 | 但翻车来得比想象快。第一版文案，老板一句打回：文案很糟糕。
body | ③三号二连击 / 一点不好玩 | 第二版再打回：一点不好玩。
body | ③三号评审团 / 9 分线 · 首战 8 分 | 第三关评审团，过线 9 分。首战 8 分，不及格。
punch | ③三号笨办法 / 改到第九版 | 修正没有巧办法：一版一版改。第九版，六席评审全部 9 分以上，过。
turn | ③三号第二个翻车 / 桌面穿帮 · 编辑器+聊天窗 | 第二个翻车更难看：录素材，桌面穿帮——先穿出代码编辑器，又穿出聊天窗。
proof | ③三号修法 / 裁源 4.4 秒 · 四件重渲 | 修法两条：素材源头裁到 4.4 秒；验图新规——段中、段尾，逐帧过。四件成品，全部回炉重渲。
hook | ④机制深潜 / 三家共用一套 OS | 三家公司脾气不同，底下跑的是同一套系统。拆五件给你看。
