hook | 今天我干了件作死的事 / 61 分钟 · 开 3 家公司 | 今天下午我干了件作死的事：61 分钟，开了三家公司。
punch | 员工表 · 人类 = 1 / 就是我，忙到飞起 | 先别羡慕——三家公司的员工表上，人类只有一个，就是我自己，忙到飞起。
turn | 听着很爽？ / 爽的是 AI，累的是我 | 听起来很爽？爽的是 AI，累的是我。
body | ① 游戏公司 / 8 款软著 · 0 元起步 | 游戏公司，8 款软著，零服务器零预算，全是 AI 军团在肝。
punch | ② 量化公司 / 不及格就开除 · 真开过 432 个 | 量化公司更狠：策略考试不及格就开除，真开除过 432 个——它今天还为此开了瓶酒。
wink | ③ 媒体公司 / 正在剪这条骂我的视频 | 第三家最离谱，就是正在剪这条视频的媒体公司，它管我叫老板。
beat | 我的管理方式 / 只说一句话，剩下它们自己卷 | 我怎么管理？一句话说完，剩下它们自己卷。
body | 每 10 分钟自醒 / 找活 → 干完 → 记账 | 每 10 分钟自己醒一次，找活、干完、记账，不用我催。
wink | 两台电脑互相甩锅 / 啊不，互相交账 | 两台电脑像同事一样互相甩锅——啊不，互相交账。
proof | 全程可查 / 我吹牛会被当场打脸 | 全过程都在代码库里，我敢吹牛，AI 就敢当场打脸。
close | 61 分钟 · 3 家 · 1 人 / 这条视频返工了三轮 | 61 分钟，三家公司，一个人类。对了，这条视频的文案，已经被我自己的合规门打回来三轮了。
cta | 评论区催更 / 转给说了八百回「我也搞一个」的朋友 | 想看 AI 怎么折磨我的，评论区催更。转给那个说了八百回「等我有空也搞一个」的朋友。
